"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
4.59,2.02,150,2,80.53,5.79,"Gamma","ui","baja","success"
16.69,21.41,137,5,72.18,26.68,"Delta","database","alta","success"
8.65,16.54,145,2,86.32,24.43,"Delta","api","media","success"
12.42,4.95,163,1,81.67,28.07,"Delta","analytics","alta","success"
10.39,30.33,161,2,66.41,0.1,"Alpha","auth","baja","success"
18.22,22.93,138,1,94.53,13.36,"Alpha","auth","media","success"
12.41,13.04,156,2,79.1,11.05,"Alpha","ui","media","success"
27.81,25.59,151,2,96.76,18.62,"Delta","ui","alta","success"
12.96,34.74,132,0,98.16,7.17,"Delta","analytics","media","success"
6.74,15.15,148,2,84.79,15.5,"Delta","auth","alta","success"
18.83,11.12,166,4,71.51,8.37,"Delta","auth","alta","failed"
8.85,13.22,145,0,76.04,2.83,"Gamma","ui","media","failed"
28.56,1.54,148,1,73.46,10,"Delta","api","alta","success"
17.11,13.88,155,2,85.97,11.38,"Beta","ui","alta","failed"
22.91,11.14,154,3,66.75,9.08,"Beta","database","baja","success"
37.58,25.62,148,2,45.17,6.72,"Gamma","auth","baja","success"
6.73,21.12,172,1,64.42,30.19,"Alpha","api","baja","success"
25.32,13.83,148,1,NA,5.18,"Gamma","api","alta","rolled_back"
4.11,7,152,4,82.04,32.94,"Delta","analytics","baja","success"
30.14,18.66,141,5,83.01,15.91,"Gamma","auth","baja","success"
6.17,34.86,165,2,66.56,90.76,"Delta","ui","baja","failed"
3.45,6.24,151,2,66.26,3.71,"Alpha","database","media","success"
13.93,13.9,135,3,89.12,29.92,"Alpha","ui","alta","success"
11.76,11.03,157,3,83.48,28.92,"Gamma","api","media","success"
12.2,5.6,149,2,70.22,12.56,"Gamma","analytics","alta","success"
8.48,6.26,153,1,72.09,4.24,"Beta","analytics","baja","success"
23.47,19.11,162,2,72.73,9.29,"Alpha","ui","baja","success"
19.88,19.47,154,2,72,21.07,"Alpha","database","baja","success"
15.19,25.77,147,2,57.93,7.05,"Gamma","analytics","baja","success"
15.69,10.98,147,1,75.08,0.13,"Delta","analytics","baja","success"
23.82,8.75,165,3,71.09,9.66,"Alpha","api","alta","success"
22.73,3.37,143,2,66.55,16.2,"Alpha","analytics","crítica","success"
12.02,3.82,163,1,86.89,4.76,"Beta","ui","baja","success"
8.34,38.1,167,1,88.25,44.03,"Alpha","auth","baja","success"
26.84,11.39,156,2,80.53,37.25,"Delta","api","media","failed"
5.97,10.61,141,0,68.77,15.39,"Beta","analytics","crítica","success"
33.35,21.78,131,2,77.64,5.02,"Gamma","database","baja","success"
8.81,43.81,154,0,96.5,3.64,"Gamma","database","media","success"
24.81,21.67,125,1,72.56,6.83,"Alpha","database","baja","success"
13.18,48.34,144,2,55.39,24.41,"Delta","database","baja","success"
21.31,8.88,151,1,57.73,20.33,"Alpha","ui","baja","success"
32.53,34.4,163,2,87.89,8.68,"Alpha","api","media","success"
22.49,1.46,161,1,95.95,25.03,"Delta","analytics","baja","success"
9.86,25.96,142,4,55.45,NA,"Beta","ui","media","success"
22.39,32.63,164,3,67.15,0.45,"Delta","analytics","baja","success"
17.07,12.76,139,0,84.13,47.69,"Alpha","ui","media","success"
18.13,13.33,153,3,65.44,12.71,"Beta","ui","alta","failed"
19.36,24.94,158,1,85.37,17.35,"Delta","auth","media","failed"
15.12,1.71,166,0,88.67,22.17,"Alpha","ui","media","success"
5.64,24.81,149,2,63.01,1.95,"Delta","analytics","baja","success"
22.08,39.84,156,3,76.57,2.06,"Alpha","database","alta","success"
19.57,26.19,159,1,64.74,20.38,"Alpha","api","alta","failed"
20.37,8.47,144,2,83.52,1.42,"Gamma","database","baja","success"
8.35,3.38,142,0,73.29,22.02,"Delta","database","baja","success"
42.95,20.76,151,1,89.54,8.83,"Delta","database","media","failed"
18.23,47.24,148,3,79.6,10.02,"Alpha","database","crítica","success"
22.82,13.51,155,2,93.5,3.8,"Delta","database","baja","success"
35.15,13.96,118,2,80.86,1.71,"Delta","auth","baja","success"
6.79,5.16,161,2,76.5,73.5,"Delta","analytics","alta","success"
4.84,9.39,148,2,79.19,5.69,"Alpha","auth","crítica","rolled_back"
8.85,7.33,169,2,74.64,6.74,"Alpha","auth","media","success"
23.7,17.27,139,3,77.87,4.39,"Alpha","database","baja","success"
42.58,26.56,144,3,80.44,13.34,"Delta","database","crítica","success"
25.16,13.86,160,1,78.4,9.66,"Alpha","database","media","success"
19.7,11.46,147,2,62.21,9.56,"Alpha","analytics","alta","rolled_back"
10.52,15.39,118,3,67.03,29.76,"Beta","api","baja","success"
24.95,11.3,158,4,64.68,3.79,"Gamma","analytics","baja","success"
8.02,16.98,169,2,51.98,35.72,"Beta","auth","media","success"
12.91,5.89,145,3,63.94,7.31,"Delta","ui","media","failed"
6.75,29.04,147,5,78.07,21.66,"Alpha","api","media","success"
27.14,30.49,158,3,69.39,23.19,"Gamma","ui","alta","success"
8.1,8.38,146,1,78.86,54.86,"Delta","auth","media","success"
4.76,2.85,155,3,92.35,8.27,"Gamma","api","baja","success"
27.42,23.23,139,3,68.13,26.16,"Alpha","auth","media","success"
4.68,11.39,142,1,68.99,16.38,"Delta","database","media","success"
5.63,20.27,159,2,58.44,17.5,"Alpha","analytics","media","success"
14.96,45.82,142,3,61.81,46.85,"Delta","api","baja","failed"
14.12,26.25,141,4,86.87,19.63,"Alpha","api","baja","success"
8.46,30.2,150,1,59.34,26.67,"Delta","database","media","success"
11.54,26.15,146,2,83.17,1.93,"Alpha","auth","alta","success"
49.41,11.99,138,2,73.53,20.84,"Beta","api","media","failed"
24.91,2.42,150,1,76.38,8.21,"Gamma","api","baja","failed"
14.72,16.73,162,0,97.91,0.25,"Gamma","auth","baja","success"
22.56,1.13,142,2,87.92,13.58,"Delta","database","baja","success"
8.7,59.77,157,1,70.24,2.3,"Alpha","ui","baja","success"
33.45,4.86,153,1,65.69,24.15,"Delta","analytics","crítica","success"
7.27,19.14,132,2,63.18,49.52,"Delta","auth","baja","success"
23.94,17.23,143,0,51.34,9.15,"Alpha","database","crítica","success"
12.65,17.1,139,5,57.27,2.82,"Alpha","analytics","media","success"
19.21,26.09,134,2,100,28.98,"Gamma","database","baja","success"
9.68,23.51,142,2,53.83,5.6,"Alpha","ui","baja","success"
13.39,35.19,124,4,66.88,0.32,"Alpha","api","baja","failed"
8.27,14,142,2,69.6,8.91,"Delta","api","baja","rolled_back"
21.05,5.42,135,0,91.91,82.99,"Beta","auth","baja","success"
2.23,35.87,156,1,58.33,NA,"Beta","analytics","media","success"
17.36,27.96,129,1,68.09,91.38,"Gamma","api","baja","success"
17.56,12.62,154,3,77.08,9.14,"Delta","database","alta","failed"
25.95,20.06,142,1,88.63,36.15,"Delta","auth","alta","success"
27.69,9.62,157,1,59.46,30.98,"Delta","ui","media","success"
5.5,2.37,188,1,60.83,24.22,"Alpha","api","baja","success"
11.38,17.17,140,1,67.84,16.52,"Delta","database","baja","failed"
16.46,18.61,144,3,67.51,28.82,"Beta","auth","crítica","success"
15.05,11.35,155,3,67.4,16.52,"Beta","database","media","success"
13.31,32.87,133,2,61.51,19.45,"Gamma","ui","media","success"
9,7.74,144,1,77.24,46.26,"Gamma","auth","baja","success"
6.98,37.75,149,3,68.22,31.01,"Alpha","database","alta","success"
41.99,27.14,136,3,81,33.19,"Gamma","auth","alta","success"
22.1,12.04,153,4,82.3,16.92,"Beta","auth","crítica","rolled_back"
21.44,18.5,148,2,91.09,24.31,"Beta","ui","media","failed"
11.61,27.4,142,1,64.17,25.08,"Delta","database","alta","rolled_back"
30.8,10.71,152,3,53.5,15.91,"Alpha","ui","alta","success"
26.08,39.68,143,1,79.59,13.24,"Gamma","analytics","media","success"
4.57,16.99,149,1,72.28,24.53,"Beta","analytics","media","failed"
12.4,20.83,149,2,44.02,18.95,"Delta","database","baja","success"
9.63,22.36,142,1,54.82,20.61,"Alpha","ui","baja","success"
21.68,13.73,126,5,64.32,20.63,"Alpha","analytics","alta","success"
7.36,22.42,162,0,71.52,0.88,"Delta","analytics","baja","rolled_back"
12.16,8.81,146,0,83.93,1.16,"Gamma","auth","media","success"
18.18,15.83,151,2,53.64,4.74,"Beta","database","crítica","success"
7.63,11.18,142,0,60.13,5.71,"Alpha","analytics","baja","success"
6.46,31.36,159,3,94.1,6.54,"Beta","auth","baja","failed"
20.44,22.43,152,5,84.54,28.84,"Gamma","analytics","alta","success"
8.58,28.44,146,1,66.48,3.23,"Alpha","auth","media","success"
24.52,9.44,152,3,77.26,38.69,"Beta","analytics","baja","success"
8.96,31.93,155,1,67.42,8.01,"Beta","analytics","alta","success"
9.52,23.11,132,2,68.83,11.92,"Delta","analytics","alta","success"
22.29,33.68,142,6,68.76,15.19,"Beta","analytics","media","success"
9.03,37.52,153,1,90,28.89,"Beta","ui","alta","success"
9.92,12.29,128,3,81.85,3.58,"Alpha","database","baja","success"
19.41,24.26,157,0,76.48,28.38,"Delta","database","baja","success"
19.59,23.31,165,1,83.67,5.27,"Gamma","auth","media","failed"
12.89,28.14,144,3,82.22,4.22,"Delta","analytics","media","success"
19.26,5.47,159,4,92.65,1.93,"Gamma","database","media","success"
14.86,10.86,124,1,57.07,19.06,"Beta","analytics","alta","success"
8,4.06,164,1,78.3,0.18,"Beta","database","media","success"
10.59,17.36,145,1,71.81,16.93,"Gamma","api","baja","success"
20.08,3.17,170,0,89.19,19.57,"Delta","ui","alta","success"
15.35,40.59,171,0,92.78,24.44,"Gamma","ui","baja","rolled_back"
12.68,2.49,152,1,90.2,4.45,"Delta","auth","media","success"
8.13,21.64,134,2,80.88,49.99,"Beta","analytics","crítica","failed"
4,6.14,150,2,66.01,38.84,"Beta","ui","baja","success"
11.74,17.87,152,1,65.58,33.23,"Alpha","database","media","success"
10.99,15.84,158,0,63.82,2.7,"Delta","api","alta","success"
8.89,2.99,156,2,63.81,18.89,"Gamma","analytics","media","success"
33.2,13.63,148,3,79.28,1.01,"Alpha","auth","baja","failed"
26.18,5.39,157,2,60.49,0.44,"Alpha","database","media","failed"
4.17,24.41,148,1,87.97,62.85,"Beta","api","baja","success"
10.51,11.9,159,0,95.24,19.1,"Beta","auth","baja","success"
12.13,19.93,138,5,88.46,7.81,"Alpha","database","baja","success"
27.05,12.27,152,2,76.91,5.19,"Alpha","auth","baja","failed"
3.7,9.82,142,4,68.15,8.37,"Gamma","analytics","crítica","success"
1.36,8.26,136,6,71.9,16.55,"Gamma","auth","baja","success"
18.29,6.37,160,2,71.33,2.78,"Beta","auth","media","success"
5.27,12.44,161,0,NA,2.54,"Beta","api","media","success"
5.31,25.83,148,4,80.64,4.44,"Gamma","analytics","baja","failed"
3.73,9.57,152,4,56.67,10.61,"Beta","api","media","success"
13.61,6.59,155,3,67.78,21.75,"Gamma","ui","media","success"
27.2,40.8,151,2,59.17,24.35,"Delta","analytics","media","success"
14.07,10.82,149,2,89.7,46.21,"Alpha","database","baja","success"
17.01,7.24,158,4,93.91,7.74,"Gamma","auth","media","success"
37.88,11.78,141,2,71.59,5.82,"Gamma","ui","media","success"
9.28,29.2,173,2,79.68,28.73,"Beta","api","media","success"
2.36,21.01,156,3,55.76,12.8,"Alpha","analytics","baja","failed"
10.49,7.89,178,3,73.5,41.77,"Delta","auth","alta","success"
9.43,9.47,144,1,88.19,14.57,"Gamma","api","media","success"
14.1,16.4,126,1,68.55,16.66,"Alpha","ui","crítica","failed"
4.2,13.91,138,1,86.35,13.13,"Beta","ui","baja","success"
9.55,16.42,140,3,75.71,25.66,"Gamma","ui","alta","success"
4.22,23.51,154,1,98.45,51.1,"Beta","ui","baja","success"
27.29,9.16,155,3,64.56,31.05,"Beta","analytics","baja","success"
14.19,59.14,149,3,60.83,11.81,"Alpha","api","media","success"
13.79,15.49,168,3,62.25,11.91,"Delta","auth","alta","success"
13.36,7.33,151,3,52.46,31.75,"Delta","analytics","media","success"
6.4,39.25,167,1,70.45,31.82,"Alpha","auth","crítica","success"
13.75,3.85,135,3,84.5,118.02,"Gamma","ui","crítica","success"
12.71,20.35,169,3,76.85,62.94,"Delta","api","media","failed"
22.24,33.47,152,2,59.49,36.24,"Beta","ui","media","success"
10.79,12.72,136,2,75.04,76.99,"Gamma","api","media","success"
17.75,14.6,156,1,72.71,13.21,"Gamma","database","media","success"
16.64,5.58,147,4,83.62,37.68,"Alpha","api","crítica","success"
8.81,18.57,147,2,75.57,8.6,"Gamma","auth","baja","failed"
11.47,43.58,149,0,89.28,59.82,"Beta","analytics","media","success"
13.53,11.92,125,2,64.61,86.4,"Beta","ui","baja","success"
8.91,31.87,152,1,85.19,51.65,"Delta","analytics","media","success"
37.89,34,153,2,82.69,21.08,"Beta","auth","baja","success"
16.01,6.75,168,2,92.46,1.72,"Gamma","analytics","media","failed"
15.53,16.68,145,3,73.63,7.81,"Beta","ui","alta","success"
17.06,15.82,165,1,96.23,2.01,"Beta","database","baja","success"
27.73,34.87,162,1,55.69,14.96,"Delta","ui","baja","success"
21.26,14.3,144,1,76.11,36.29,"Delta","auth","baja","success"
15.32,26.23,167,1,78.64,10.49,"Gamma","database","baja","failed"
8.14,35.11,137,1,62.86,9.49,"Alpha","ui","media","success"
2.34,8.72,156,3,80.67,1.75,"Beta","api","baja","success"
14.25,67.86,146,1,83.01,35.11,"Beta","auth","alta","success"
11.5,1.64,176,2,64.42,7.25,"Alpha","api","media","success"
14.64,10.39,155,2,83.83,17.38,"Alpha","analytics","crítica","success"
4.92,7.92,134,2,71.51,15.65,"Beta","analytics","alta","success"
16.64,23.48,134,3,65.65,23.58,"Delta","ui","alta","success"
9.72,2.64,137,6,57.27,1.23,"Beta","auth","baja","success"
10.4,25.99,160,3,70.26,15.23,"Beta","auth","alta","rolled_back"
11.04,23.72,169,0,53.04,2.33,"Alpha","ui","media","success"
4.37,19.62,129,2,79.09,4.74,"Gamma","api","baja","success"
5.58,6.73,153,2,77.21,21.26,"Beta","auth","baja","success"
7.37,6.44,151,3,55.91,9.53,"Gamma","database","baja","success"
21.22,26.65,143,1,77.31,35.76,"Alpha","auth","alta","success"
12.96,30.01,163,2,56.25,50.54,"Gamma","api","alta","success"
15.14,4.05,128,2,83.84,50.81,"Beta","analytics","baja","success"
10.25,39.44,172,2,56.65,6.64,"Alpha","auth","baja","success"
6.57,18.7,162,2,87,24.78,"Beta","analytics","baja","success"
11.5,15.25,151,3,80.7,13.24,"Delta","ui","baja","failed"
25.46,29.78,145,4,92.92,3.65,"Gamma","analytics","baja","failed"
27.04,10.08,177,0,80.42,35.94,"Delta","api","baja","success"
15.61,15.44,159,1,67.78,2.14,"Beta","database","media","failed"
10.86,46.43,143,1,65.71,16.9,"Beta","analytics","baja","success"
9.87,33.57,158,2,81.25,17,"Delta","database","baja","success"
5.83,16.95,169,2,96.65,41.65,"Delta","ui","media","success"
11.39,33.37,122,1,66.81,69.58,"Beta","analytics","media","success"
24.46,22.18,161,2,81.09,21.93,"Delta","ui","alta","success"
29.15,53.4,152,3,75.49,9.3,"Gamma","api","baja","success"
26.84,25.7,118,3,79.61,44.69,"Delta","database","baja","success"
19.52,22.82,164,2,74.66,30.81,"Beta","analytics","media","success"
12.21,23.86,152,2,70.32,38.89,"Delta","api","baja","success"
27.73,27.48,150,3,95.4,8.25,"Delta","ui","baja","failed"
55.93,24.4,149,4,82.97,31.33,"Gamma","auth","media","success"
10.01,14.04,148,2,82.54,8.78,"Beta","auth","media","failed"
13.25,14.98,151,2,81.17,22.14,"Delta","database","baja","success"
9.02,39.7,140,5,85.85,44.54,"Beta","analytics","alta","success"
6.97,37.23,149,0,100,1.59,"Gamma","auth","media","success"
25.08,22.49,141,3,58.83,1.33,"Alpha","api","baja","success"
8.55,33.65,143,2,82.08,34.46,"Beta","ui","baja","success"
19.04,23.43,158,2,89.62,3.79,"Delta","api","baja","success"
7.59,8.79,149,3,86.16,20.62,"Delta","analytics","media","success"
4.42,17.26,163,0,84.61,5.7,"Delta","database","baja","success"
6.29,21.51,141,2,73.06,46.62,"Gamma","analytics","media","success"
16.31,1.25,147,2,73.04,13.6,"Beta","auth","crítica","success"
15.16,7.4,165,1,73.99,67.38,"Alpha","auth","media","success"
27.26,22.28,175,1,78.08,13.38,"Delta","api","baja","failed"
12,35.57,146,6,63.47,20.56,"Delta","database","baja","success"
27.4,27.95,160,9,60.27,97.7,"Delta","ui","media","success"
11.18,27.16,137,0,69.79,19.86,"Gamma","database","crítica","success"
14.34,4.72,159,1,85.68,16.94,"Alpha","analytics","crítica","success"
6.48,21.72,176,2,68.28,4.21,"Gamma","database","media","success"
5.12,20.83,154,0,75.35,23.65,"Delta","analytics","media","success"
7.41,17.41,167,2,78.15,7.14,"Delta","database","media","success"
14.23,16.44,143,1,94.01,18.27,"Alpha","api","alta","failed"
18.08,24.91,159,2,73.93,7.95,"Gamma","analytics","crítica","success"
5.67,5.27,149,2,53.51,18.34,"Delta","api","baja","success"
10.22,9.29,139,3,77.12,16.77,"Alpha","api","alta","success"
17.86,15.06,162,1,85.42,24.82,"Delta","database","baja","success"
11.17,8.69,147,2,48.66,53.14,"Gamma","database","media","failed"
11.24,34.39,165,2,78.53,4.12,"Alpha","ui","media","success"
42.81,16.61,155,1,82.94,24.63,"Beta","auth","baja","success"
26.52,26.89,138,1,65.55,34.32,"Beta","api","crítica","rolled_back"
17.62,18.37,163,3,76.9,18.71,"Delta","ui","media","success"
18.61,21.07,128,2,78.07,9.33,"Beta","api","baja","failed"
16.82,8.14,154,3,80.29,45.74,"Gamma","auth","media","success"
7.7,24.12,140,3,61.37,30.49,"Beta","api","media","success"
8.29,50.36,128,1,77.15,14.04,"Delta","api","crítica","success"
18.6,11.84,169,2,63.68,7.4,"Gamma","auth","media","success"
5.34,28.71,151,2,72.22,27.68,"Beta","analytics","media","rolled_back"
7.99,0.59,154,2,57.23,32.71,"Delta","analytics","media","failed"
24.33,18.05,147,7,83.98,3.29,"Delta","database","baja","success"
16.45,13.4,137,4,78.62,57.94,"Gamma","ui","baja","success"
8.01,21.45,167,0,81.4,25.91,"Alpha","api","alta","success"
9.96,4.75,151,1,74.5,22.72,"Alpha","auth","alta","success"
13.68,19.86,162,5,86.54,21.07,"Gamma","api","media","failed"
11.76,6.53,151,2,76.74,5.67,"Delta","api","alta","success"
22.38,7.16,137,0,83.28,10.21,"Alpha","analytics","media","success"
17.78,14.63,150,0,75,16.82,"Alpha","analytics","media","failed"
18.99,9.14,150,1,67.95,8.86,"Beta","analytics","media","success"
16.55,33.43,138,5,66.37,12.12,"Alpha","database","alta","success"
15.23,39.61,152,1,64.92,20.11,"Beta","analytics","baja","success"
2.38,8.33,147,3,87.93,6.98,"Beta","database","crítica","success"
11.27,11.71,156,3,67.15,20.1,"Delta","api","media","success"
13.11,23.54,148,1,74.9,33.35,"Delta","database","baja","success"
7.82,41.67,164,3,93.1,29.29,"Alpha","analytics","baja","success"
24.35,41.13,142,0,69.68,60.98,"Gamma","ui","baja","success"
18.36,11.88,145,0,68.45,53.3,"Beta","analytics","media","success"
21.23,39.9,148,3,56.37,11.11,"Gamma","database","alta","success"
8.08,20.29,137,0,79.27,13.9,"Alpha","api","media","failed"
20.8,21.67,169,4,89.43,1.44,"Delta","ui","baja","success"
36.77,18.86,160,1,81.71,16.1,"Alpha","auth","media","success"
18.04,6.88,159,2,73.56,24.82,"Delta","ui","alta","rolled_back"
30.48,12.47,165,2,45.51,33.79,"Alpha","api","media","success"
5.07,35.93,159,2,86.37,22.38,"Gamma","database","crítica","success"
12.81,19,170,3,73.76,29.82,"Gamma","analytics","media","success"
25.02,22.46,161,1,88.61,5.27,"Beta","ui","crítica","success"
14.47,29.92,139,2,66.12,15.6,"Beta","database","baja","success"
17.52,17.75,140,2,69.58,3.83,"Gamma","ui","media","success"
39.56,29.02,157,2,66.97,6.43,"Delta","api","baja","failed"
10.15,11.04,137,2,72.66,13.76,"Alpha","database","media","success"
31.38,10.89,151,1,80.98,22.16,"Delta","analytics","alta","success"
24.23,74.49,128,1,78.02,26.78,"Beta","auth","baja","success"
3.97,2.12,157,4,80.99,3.98,"Gamma","api","baja","rolled_back"
8.33,16.75,157,2,67.31,10.65,"Delta","auth","alta","success"
13.2,19.12,151,2,89.32,1.3,"Beta","ui","media","success"
11.1,72.91,152,4,69.17,0.52,"Beta","ui","crítica","success"
10.86,80.86,135,1,59.1,26.23,"Beta","database","alta","success"
25.47,30.46,136,5,63.7,29.24,"Gamma","api","baja","success"
28.79,40.21,155,2,66.33,10.56,"Delta","ui","alta","success"
16.58,25.32,167,1,79.21,13.21,"Gamma","database","baja","rolled_back"
7.36,24.2,142,0,76.25,15.76,"Alpha","auth","baja","success"
13.17,5.07,157,2,80.97,96.69,"Gamma","api","baja","failed"
14.13,16.74,151,0,57.24,0.4,"Gamma","auth","media","success"
10.65,80.53,143,0,67.13,14.57,"Alpha","analytics","media","success"
46,25.33,165,1,61.91,1.71,"Beta","database","baja","rolled_back"
10.47,31.11,161,2,62.5,27.7,"Beta","database","baja","success"
13.69,4.77,125,0,62.65,20.58,"Delta","analytics","alta","success"
4.55,20.3,146,2,63.18,3.64,"Gamma","api","media","failed"
20.1,2.69,149,4,75.46,7.4,"Gamma","ui","baja","success"
8.68,32.56,144,4,76.42,48.94,"Beta","ui","alta","failed"
10.02,4.82,143,2,74.32,16.55,"Delta","analytics","media","failed"
42.81,19.65,148,3,53.68,0.65,"Alpha","auth","alta","success"
5.74,4.9,136,1,75.76,10.52,"Gamma","database","baja","success"
12.57,24.66,149,6,100,4.26,"Alpha","analytics","alta","success"
6.11,18.78,153,0,100,1.34,"Alpha","ui","crítica","success"
26.24,40.93,166,2,56.8,44.11,"Beta","analytics","baja","success"
31.89,9.56,182,2,81.14,16.04,"Delta","api","alta","failed"
19.62,19.39,135,2,63.26,0.92,"Beta","api","crítica","success"
2.13,28.85,142,1,80.09,15.66,"Delta","analytics","baja","success"
20.99,50.11,130,5,74.64,41.39,"Gamma","database","media","success"
3.51,11.78,153,1,78.15,9.75,"Alpha","ui","alta","success"
15.37,16.63,137,1,85.86,91.29,"Gamma","ui","baja","success"
14.17,20.69,140,0,68.75,8.51,"Delta","ui","media","success"
12.37,1.92,128,1,59.09,7.52,"Gamma","ui","baja","success"
16.1,31.55,163,2,76.87,21.38,"Delta","database","baja","success"
2.81,16.06,133,2,89.61,NA,"Beta","ui","crítica","rolled_back"
5.66,5.52,167,2,80.89,51.19,"Beta","analytics","baja","success"
20.03,22.6,139,2,100,3.87,"Alpha","ui","media","success"
12.76,42.16,144,3,60.49,24.53,"Beta","analytics","media","success"
10.69,1.77,150,1,82.31,22.18,"Alpha","analytics","baja","success"
23.06,2.8,171,0,80.76,28.5,"Alpha","api","baja","failed"
23.01,46.06,161,4,63.48,23.77,"Beta","api","media","success"
14.1,9.2,158,3,58.82,17.82,"Delta","database","media","success"
11.34,6.88,157,2,70.17,1.71,"Alpha","auth","media","success"
28.7,25.51,153,2,67.01,22.79,"Gamma","ui","baja","success"
17.02,41.41,151,2,51.82,3.74,"Beta","auth","alta","success"
9.81,17.84,160,3,65.37,0.98,"Gamma","api","baja","success"
9.12,54.69,149,3,79.51,0.79,"Gamma","analytics","alta","success"
31.96,27.04,154,3,75.17,17.73,"Gamma","analytics","alta","failed"
12.7,17.87,152,2,70.56,0.08,"Gamma","analytics","baja","success"
17.26,12.75,134,2,82.78,0.24,"Delta","ui","media","success"
8.37,25.36,160,2,52.96,0.17,"Delta","analytics","alta","success"
21.47,16.28,142,5,98.75,26.19,"Alpha","analytics","alta","failed"
9.71,53.65,151,3,83.87,11.83,"Delta","analytics","media","failed"
18.91,18.22,155,1,70.62,21.42,"Delta","ui","baja","failed"
5.3,15.25,159,1,73.89,35.43,"Gamma","auth","media","failed"
4.22,15.75,145,1,87.62,0.84,"Delta","auth","baja","success"
13.79,28.38,149,0,87.04,1.15,"Delta","database","crítica","success"
8.9,17.97,131,2,85.05,0.7,"Gamma","database","baja","failed"
17.02,3.02,147,1,77.92,27.04,"Gamma","auth","baja","success"
17.46,4.92,135,1,40.38,6.81,"Delta","api","baja","rolled_back"
15.17,27.33,133,2,64.38,30.19,"Alpha","database","baja","success"
15.88,16.77,155,4,68.65,9.04,"Alpha","ui","media","success"
24.18,28.69,145,1,84.51,14.2,"Delta","database","media","rolled_back"
13.32,8.23,151,3,75.05,20.91,"Beta","database","alta","success"
16.18,28.34,118,3,77.4,2.73,"Beta","api","baja","success"
13.71,28.34,133,1,79.56,43.26,"Delta","auth","media","success"
21.5,6.97,152,3,86.66,1.92,"Delta","api","crítica","failed"
8.63,29.28,161,2,71.57,2.65,"Gamma","database","baja","success"
26.75,43.49,152,1,84.08,4.96,"Gamma","analytics","alta","success"
16.11,27.14,144,3,65.84,2.21,"Alpha","auth","alta","success"
5.71,11.38,138,4,84.29,74.78,"Alpha","auth","baja","failed"
12.39,5.89,167,1,64.53,12.41,"Gamma","database","baja","success"
10.19,9.7,152,4,58.99,8.63,"Beta","auth","media","success"
12.09,27.22,161,0,69.02,15.1,"Gamma","auth","media","rolled_back"
18.21,20.25,172,1,69.79,15.49,"Beta","api","alta","success"
5.45,57.79,159,1,69.96,0.8,"Beta","ui","baja","success"
17.74,7.12,146,1,87.85,10.46,"Alpha","database","baja","success"
13.53,20.39,169,4,49.85,15.41,"Alpha","database","alta","rolled_back"
11.59,21.93,169,1,78.13,0.93,"Gamma","analytics","crítica","failed"
17.15,8.22,160,3,75.1,31.9,"Gamma","ui","media","success"
18.02,20.12,142,4,84.11,5.68,"Delta","api","baja","success"
29.83,30.78,145,2,73.85,22.85,"Delta","database","alta","success"
8.71,8.26,129,2,80.93,5.88,"Beta","auth","media","success"
24.38,50.26,130,1,93.25,1.52,"Alpha","api","baja","success"
11.94,17.43,146,1,77.32,1.09,"Alpha","auth","baja","success"
9.36,42.87,131,1,85.25,4.32,"Delta","api","baja","success"
24.91,7.15,148,3,78.23,27.59,"Delta","ui","baja","success"
19.21,47.2,139,0,71,5.09,"Beta","database","baja","success"
26.93,11.08,165,3,92.7,0.09,"Delta","ui","media","rolled_back"
8.08,14.4,162,3,49.2,100.35,"Beta","ui","baja","success"
14.79,21.01,162,3,82.9,17.58,"Delta","database","alta","success"
20.42,8.46,143,2,55.66,1.77,"Beta","api","media","rolled_back"
8.78,5.55,139,5,90.15,7.13,"Delta","api","media","success"
15.76,13.57,154,2,73.9,36.12,"Gamma","ui","crítica","success"
12.2,17.07,164,5,55.13,16.08,"Beta","analytics","alta","failed"
4.12,43.63,149,1,57.03,4.37,"Delta","database","baja","success"
9.51,21.11,167,2,38.97,15.79,"Alpha","api","media","failed"
15.22,10.35,128,1,88.23,33.99,"Beta","auth","media","success"
20.69,4.97,140,0,49.67,7.57,"Gamma","api","media","failed"
21.13,15.72,173,1,90.25,2.64,"Beta","auth","baja","success"
24.08,11.65,168,2,75.17,20.14,"Alpha","database","baja","success"
13.19,18.89,128,2,83.84,4.86,"Alpha","database","alta","success"
19.62,23.72,146,2,98.09,0.78,"Beta","ui","baja","success"
7.1,19.33,144,2,69.57,29.62,"Gamma","analytics","alta","success"
15.24,53.33,149,4,95.76,9.79,"Gamma","analytics","media","success"
10.26,16.96,151,3,82.67,14.67,"Alpha","ui","baja","success"
5.27,35.95,128,1,79.95,32.8,"Delta","analytics","crítica","success"
4.96,56.12,143,3,73.95,2.32,"Gamma","database","alta","success"
46.81,3.52,136,0,62.22,26.58,"Gamma","api","media","success"
12.43,42.59,143,1,90.46,3.94,"Gamma","database","baja","success"
15.33,9.47,158,3,77.87,18.94,"Gamma","analytics","media","success"
0.66,11.63,164,0,62.34,1.18,"Alpha","auth","baja","rolled_back"
12.58,9.28,151,1,85.77,7.52,"Beta","database","media","success"
10.09,11.59,160,1,83.26,8.61,"Gamma","analytics","baja","success"
